"","M82.Inf","M82.Leaf","M82.root","M82.sdling","M82.stem","M82.veg","LA716.Inf","LA716.Leaf","LA716.root","LA716.sdling","LA716.stem","LA716.veg"
"Solyc02g064670.1.1",487.999999999999,208.00000000002,551.500000000002,485.500000001142,307.000000029986,431.500000000004,1076.00000000000,206.500000000001,944,749,752.5,359.5
"Solyc10g081020.1.1",1662.49999999999,816.499999999999,1401.00000002153,788.499999999999,1028.50000000000,948.499999999999,1632.00000000000,758.999999999999,976.499999999998,1088.50000000000,1058.00000000000,845.499999999999
"Solyc10g009540.1.1",2.00000000000001,1.99999999999999,1.12535174261981e-08,2.49999999999999,0.500000000000001,4.99999999999999,15.9999999999999,35.0000000000000,0.500000000000005,79,12.5,100.500000000000
"Solyc12g019970.1.1",7.00000000025284,8.5,5.00000000005429,14,9.50000000003121,6,5.00000004140107,7.00000000025284,10,13.0000000017372,8.5,7.00000000025284
"Solyc08g045850.2.1",79.9999999999999,210,69.0000000000006,42.0000000000000,102.5,106.500000000000,101.000000000000,238.500000000000,36.5000000000000,106.500000000000,84.9999999999998,122
"Solyc11g065610.1.1",7.50000000000001,5.00000000000001,18.0000000000000,17.0000000000000,8.5,7.5,6.00000000000002,14.0000000000000,17.0000000000000,9,9,11.5000000000000
"Solyc01g096670.2.1",138.000000000002,61,368,161,663.499999999999,214,155.500000000000,25.9999999999999,376.5,164.500000000001,234,97.5000000000002
"Solyc02g085390.2.1",159.500000000000,18.5000000000000,73.5000000000002,36.5000000000001,70.0000000000001,81.5000000000001,175.500000000001,15.0000000001983,72.5000000000001,64.5000000000001,73.5000000000001,57.0000000000002
"Solyc06g069550.1.1",8,4.13993774343209e-09,3.5,2.50000000000001,4.13993781949239e-09,4.99999999999999,1.00000000000000,1.00000000000001,13.0000000000000,4.13993771874241e-09,1.5,1.00000000000000
"Solyc01g065560.2.1",33,22.0000000000000,23.5000000340097,32,26,18.5,21,24,23.5,18.5,21.5,20
"Solyc09g075650.2.1",1.50000000000000,1.5,6.5,3.00000000000000,11,1.12535174714088e-08,1.50000000000000,1.12535174719310e-08,4.5,3,12.5,0.500000000000003
"Solyc07g043580.2.1",71.9999999999999,494.499999999999,12.5000000000000,205.5,189.499999999999,156,107.999999999999,393.000000000000,10.4999999999999,213.5,311.999999999999,137.000000000000
"Solyc03g034000.2.1",2,24.0000000000000,2.50000000000000,10,7.5,2.50000000373349,4.50000000000097,23.5,10.5,21,18,15.5
"Solyc01g104220.2.1",82.0000000000002,48.5000000000001,97.5000000000003,88.0000000000001,88.500000002099,59.0000000000001,106.500000000001,42.0000000000001,85.5000000000001,95.50000000042,108.000000000000,55.0000000000001
"Solyc05g056060.2.1",19.5000000000000,67.5000000000002,25.5000000000001,36.0000000000001,31.5000000000046,38.5000000000049,54.0000000000063,38.0000000004315,34.5000000000001,41.0000000000001,50.5000000000272,38.5000000000001
"Solyc09g009790.2.1",14.5,10,17.5000000346088,10,7.5,14.0000000000293,15.0000000000003,6.00000000258636,8.50000000000072,7.5,12.5000000117324,9.5000000018569
"Solyc05g053740.2.1",5,13.0000000217800,7.00000000025284,4.00000000000002,12.0000000000081,4.5000000000025,4,4.50000001007522,9,5.5,5.00000000005429,4.5000000000025
"Solyc03g113980.2.1",2.5,0.500000000004683,7.5,4,1.00000000016102,1.5,6.49999999999999,8.5,3.5,2.50000000373349,3.00000000000000,5.5
"Solyc01g108280.2.1",62.9999999999999,136.000000000000,238.5,123.500000000000,123.000000000000,80.9999999999999,83.4999999999993,216.500000000000,250.000000000000,153.000000000000,119,143.500000000000
"Solyc01g067700.2.1",6.5,1.5,4.00000000000002,1.12535174286375e-08,6,5,2.50000000000001,1.50000000000001,3.50000000000003,3.99999999999996,2.50000000000001,5.5
"Solyc07g047800.2.1",138.5,312.500000000002,557.5,276.5,317,112.5,98.0000000000006,274.500000000085,550.000000000001,290.000000000000,292.5,115.500000000000
"Solyc06g072340.2.1",242,109.000000000001,161.000000000000,206,105,230,153.499999999999,119.5,140,169.000000000000,34.5,179
"Solyc06g068620.2.1",83.4999999999999,107.500000000000,20.0000000000021,7.99999999999998,69.9999999999999,20.0000000000000,46.9999999999998,36,41.4999999999999,31.5000000000000,92.4999999999999,18.9999999999999
"Solyc01g108430.2.1",26.5000000000000,50.0000000000001,21.5000000000000,24.5000000000000,40.5,24.5000000000000,27.0000000000001,94.5000000000002,33,24.0000000006403,42.5000000000001,20.0000000000312
"Solyc01g112220.2.1",16.5000000000004,34.5000000233653,43.9999999999999,9.50000000185688,15.5000000000000,3.99999999999999,39.9999999999998,29.0000000268277,49.4999999999999,24.9999999999999,22.4999999999999,21.0000000000000
"Solyc10g047170.1.1",0.5,1.12535173966849e-08,169.000000000000,3.00000000000001,0.500000000000001,1.00000000000000,1.50000000000004,1.00000000000001,143.500000000000,10.5000000000000,1.00000000000001,1.12535174719065e-08
"Solyc09g010630.2.1",14133.5000000764,10136.0000000011,28136.0000000000,22326.0000000097,15517.0000000000,11955.5000000000,11293,5114.50000000001,15892.5000000000,15488.0000000001,13699.5000000000,6458.00000000001
"Solyc05g053850.2.1",1.12535162498356e-08,24.0000000000002,1.12535174720977e-08,13.5000000000000,1.12535174996360e-08,14.5000000000000,1.12535178492444e-08,34.5000000000002,1.12535174729919e-08,6.00000000000004,0.999999999999993,7.00000000000001
"Solyc04g050240.2.1",38,55.5,45,35,39.5,39,41.5000000000000,45,64,51,41,45.5
"Solyc01g096340.2.1",4.00000000000002,86.5,9.99999999999998,28.5,10.0000000001256,16.0000000000000,6.00000000258634,78.500000000001,12,37.4999999999999,2.50000000000000,44.4999999999999
"Solyc10g007460.2.1",10.5,9,8,11.5000000001031,5.50000000000012,11,8.49999999999998,5.00000000005429,6.5,6.5,6.00000000000359,8.5
"Solyc07g045400.1.1",5.50000000000001,1.50000000077962,2,2.50000000000000,3.00000000000000,3.00000000000000,1.00000000000000,2.00000000000000,1.00000000016103,2.00000000198029,4,2.50000000373349
"Solyc04g039980.2.1",1.00000000016102,6.50000000000001,7,8.5,2.50000000000000,1.00000000016103,1.00000000016103,3.00000000000001,1.50000000077962,2,1.00000000016103,1
"Solyc04g026350.2.1",82.5000000000025,37.0000000002113,43.5000000000001,93.0000000018971,56.500000000013,68.5000000000001,38.0000000000001,79,37.5000000000000,39.5000000000436,32.5000000000029,102.000000000000
"Solyc11g007780.1.1",91.4999999999999,55.4999999999999,92,49.0000000000000,43,49.5000000000045,60,44.5000000000000,113.5,34.9999999999999,32.0000000000082,35.0000000000000
"Solyc06g076960.1.1",10.0000000000000,4,16.5,13.5,20,5.500,8.00000000000003,13,11,3.50000000000000,10.5000000000002,5.500
"Solyc05g046140.2.1",3.5,3.00000000000000,1.5,10,1,7,0.999999999999997,4.13993771875897e-09,4.13993771876829e-09,4.1399377187834e-09,4.13993771882126e-09,0.499999999999999
"Solyc03g119150.2.1",117.000000000000,633,36.5000000000001,101.000000000000,52.0000000000001,361.500,189.000000000001,743.000000000001,11.0000000000000,184.000000000000,91,512.000000000001
"Solyc09g008080.2.1",4,8.5,2,1.5,0.5,1,0.5,5.5,1.12535174719347e-08,1.12535174719696e-08,1.12535174719240e-08,4
"Solyc08g077370.2.1",0.499999999999998,42.5000000000000,8.99999999999998,1.50000000000000,4.49999999999998,3.99999999999999,4.13993789066579e-09,12.0000000000000,0.499999999999996,1.50000000000000,4.13993771867897e-09,4.13993771875286e-09
"Solyc08g014350.1.1",0.499999999999998,0.499999999999998,5.00000000000001,1.12535175322474e-08,8.99999999999999,1.12535171565502e-08,9.5,4.00000000000001,11.5000000000001,7.50000000000004,31,6.99999999999991
"Solyc08g007510.2.1",7.50000000000029,6.00000000000001,9.50000000000002,6.00000000000001,10.0000000000000,5.00000000000001,6.00000000000002,8.00000000000001,9.50000000000002,6.00000000000001,3.5,9
"Solyc06g074170.2.1",8.5,2,6.5,4.50000000000251,8.5,5.50000000000013,6.50000000000002,1,3.5,9.50000000003123,12.5000000000005,10
"Solyc05g009100.2.1",225,22.5000000000000,49.5,79,34,139.000000000000,173.5,39.5000000000000,81.5,98.5,74.4999999999999,103.5
"Solyc06g051970.2.1",9,1.00000000016103,6,4.00000000000000,3.50000000000001,5.5,10.5000000000000,2.50000000000001,33,5.00000000000001,7.00,7.00
"Solyc03g112910.2.1",379.499999999999,287,453.5,347,285.500000000000,300,445.499999999998,258,325.500000000000,381,369.499999999999,295.000000000000
"Solyc01g112370.2.1",8.00000000000001,13.5,9.50000000000001,6.5,13.5,7.5,8.00000000000001,22.5,6.50000000000003,6,14,6.5
"Solyc06g005590.2.1",35.5,142,41,63.4999999999999,152.500000000000,78,22,107.500000000000,10.0000000001256,40.0000000000002,79.5,44
"Solyc09g075200.2.1",154.5,89.5000000000561,124.5,129.000000000000,96,127.5,166.5,55.9999999999999,138.000000000000,73.5,87,109.500000000000
"Solyc03g114280.2.1",75.500000000019,46.5000000000947,54.0000000000001,50.5000000000004,48.5000000000001,48.5000000000001,61.5000000000003,29.5000000000001,68.0000000000003,34.0000000000001,42.0000000000003,35.0000000000001
"Solyc09g009250.2.1",16.0000000000039,4.5,14,5,84.5,7,10.5000000000070,2.00000000054444,2.50000000000000,7.00000000000036,17.0000000221736,6.5
"Solyc10g083960.1.1",30.5,55.5,47,38.5,19,39.5,35.5000000000000,56.5,12.5000000000293,40.5000000000947,22.5,37.5
"Solyc02g093950.2.1",131.500000000000,12.5000001251826,127,49,19.5000000000009,62.0000000000002,143.500000000000,15.5,123.5,59.5,125,36
"Solyc12g096240.1.1",1.52299845971922e-09,1.52299797439489e-09,7.50000000000004,1.00000000000001,1.52299797446027e-09,1.52299796614155e-09,1.50000000000003,1.52299797433782e-09,0.50000000000001,0.999999999999993,1.52299797439817e-09,1.00000000000000
"Solyc10g081350.1.1",64,43,50.5000000000000,80,55.5000000000413,66,52.5000000000002,17,30.5,55.5000000000001,63.5,41.5000000000000
"Solyc10g079870.1.1",5,1.5,4.13993771877056e-09,1,4.13993771877598e-09,1.5,0.5,4.13993771874029e-09,4.13993771874501e-09,2.5,4.13993771876507e-09,2.5
"Solyc02g080990.1.1",44.5,74.5000000071974,20,50.5,17,164.5,124.500000000000,222.000000008167,15.5,190.5,50,295.5
"Solyc02g090250.2.1",7.50000000000001,5.00000001834123,4.5,19,3.00000000596612,13.5,4.00000000000001,3.5,1.00000000016103,3.00000000000000,2.50000000000000,5.500
"Solyc06g065310.2.1",11.5,11.5,7.00000003413555,9.5,5.5,13,14.9999999999999,10.5000000000000,14.5,13.5,14,13
"Solyc04g055200.2.1",109.5,98.0000000000001,129.5,121.5,82,186,130.5,52,197.500000000000,159.500000000000,114.500000000000,179.500000000000
"Solyc10g076400.1.1",2,1.00000000000000,15,2,2.5,1.5,0.500000000000002,1,25,1,4.13993771877954e-09,4.13993771878618e-09
"Solyc06g049030.2.1",5.50000000048866,56,23.0000000000038,75,55.5000000000412,37.5,8.00000000000009,31.5,19.5000000065709,98.5000000022265,76.0000000000058,30.0000000000218
"Solyc03g051790.2.1",52.5,56,60,56.5000000000002,300.000000000165,49.5,37.4999999999999,44.5,73.4999999999999,44.5000000001842,115.000000000000,50.5
"Solyc02g069730.2.1",0.500000000000001,0.500000000000001,62,5.49999999999998,4.13993771878806e-09,4.13993771877509e-09,0.499999999999994,0.500000000000001,135,3.99999999999999,4.13993771874251e-09,4.13993771877937e-09
"Solyc08g060840.1.1",100.500000000000,70.0000000000202,76.5,87.4999999999998,76.9999999999999,92.9999999999999,61.0000000000001,75,54.9999999999999,83,51.5,76.5
"Solyc04g050930.2.1",72.5,143.500000013915,38.0000000000000,259.5,16.0000000081075,286.000000000000,89.5000000000004,263,20.0000000000000,253.000000000000,34.0000000000153,408
"Solyc01g080640.2.1",295,182.500000002164,138.5,58.5,155.000000000000,92,147.500000000000,199.5,100.5,137.5,184.5,179
"Solyc11g064860.1.1",10.5,13.5,10.5000000108477,9.50000000000014,16,10,6.99999999999998,14.0000000000000,7.5000000000047,11.5,11.5,13.5
"Solyc11g005280.1.1",4.00000000000003,29,29,7,8.00000000367516,5.00000000005429,2.50000000000001,26.5000000000013,8.5,9,7.5,7
"Solyc01g103750.2.1",25.500000000111,66,27,66,31,66,62.5000000001621,73.5000000000032,31,69.5,32,70.5
"Solyc12g014560.1.1",19.5,7.5,8,12.5,14,16,1.52299797457230e-09,1.52299797447593e-09,1.52299797448197e-09,1.52299797446676e-09,1.52299797447030e-09,1.5229979744623e-09
"Solyc10g018010.1.1",0.999999999999996,4.13993770663698e-09,4.13993767855088e-09,0.999999999999997,1.50000000000000,1.99999999999999,1.00000000000000,3.50000000000004,2.00000000000000,3.49999999999999,4,4
"Solyc02g063490.2.1",30.0000000000001,58.5000000000001,104.500000000000,46.5000000000001,50.5000000000001,24.0000000000000,57.0000000000003,84.0000000000001,137.500000000000,63.0000000000002,78.5000000000001,72.0000000000001
"Solyc12g044230.1.1",75.9999999999999,47.9999999999999,86.9999999999998,115.500000000000,114.000000000000,39.9999999999999,57.9999999999997,45.9999999999999,103.000000000000,51.9999999999999,96.4999999999997,35.4999999999999
"Solyc01g100300.2.1",12.5000000000000,1.50000000077962,3.5,1.50000000077962,5.00000000000001,4.5,9.50000000000003,1,6.00000000000001,5.00000000000001,8.5,2.00000000000000
"Solyc06g065820.2.1",1.99999999999999,3.00000000000000,4.99999999999999,15.0000000000000,27.5000000000000,2.50000000000000,3.99999999999998,3.00000000000000,4.49999999999999,6.49999999999998,37.9999999999999,4.00000000000000
"Solyc10g007840.2.1",50.5000000000000,51,22,67.5000000000001,20,106,93,77.5000000000014,27.5,100,37.5000000000000,161
"Solyc08g082820.2.1",813.499999999999,359.000000000000,1014.00000000000,483,998.500000000044,648.499999999999,1126.00000000000,458.999999999999,1916.50000000000,1023.50000000000,1795.00000000000,809.999999999999
"Solyc02g092510.2.1",33.9999999999999,4.99999999999999,20.5000000000065,15.0000000000000,11.5000000000000,17,29.9999999999999,7.99999999999998,28.0000000000000,25.5000000000000,9.49999999999999,23.5000000000000
"Solyc09g075400.2.1",10.5,1.49999999999999,3.05902316753065e-08,3.0590235839226e-08,2.99999999999997,2.49999999999998,144.999999999999,106.000000000000,148.999999999999,141.000000000001,135.499999999999,139.999999999999
"Solyc04g081060.2.1",8,2.00000000198028,5.5,3.5,3.50,6.5,8.49999999999998,5.49999999999999,5.5,8.99999999999999,3.99999999999999,10
"Solyc01g090490.1.1",15.5,4,5.50000000000001,8.00000000000001,8.5,6,7,6.5,9.00000000000002,5.5,6,9.50000000000001
"Solyc03g116840.1.1",35.0000000000001,19.0000000000000,24.5000000000000,44.0000000000001,27.5000000000001,28.5000000000035,39.0000000000002,23.5000000000000,37.0000000000001,24.5000000000005,26.5000000000001,24.5000000000001
"Solyc01g091200.2.1",73.5,49.5,79.5,138.5,117.5,149,102.000000000000,44,87,155.500000000836,123,183.5
"Solyc06g083190.2.1",797.499999999998,464.999999999999,954.999999999998,707.999999999999,579.5,719.500,577.499999999998,328.499999999999,678.499999999999,400.000000000000,503.999999999999,433.499999999999
"Solyc03g120840.1.1",11.5,17.5,3,4.99999999999999,19.5000000000001,11,13,17.0000000000000,9,7.5,20.5,11.5
"Solyc11g008620.1.1",197,1069,57,849.5,98,1387,443.499999999997,2286.50000000002,52.0000000001704,2072.00000000000,235,2230
"Solyc08g016070.1.1",88,40,59.5,54,65,66.4999999999999,83.4999999999999,63.0000000000015,33.0000000000000,61,46.4999999999999,59.9999999999999
"Solyc12g026420.1.1",7,9,12,5.5,8,2,3.99999999999999,2.50000000373349,11,4.5,10,1.00000000016102
"Solyc05g012310.2.1",10.5000000000000,22.000000011456,7.00000002820427,10.5000000000000,23.5,20.5,13.5000000000000,18.0000000000000,24,21.5,41.5000000000000,12.5
"Solyc04g072850.2.1",113.00,285.000000000000,49.5,140.5,499.500000000043,143.5,353.500000000000,203,205.5,290.5,982.50000000026,241
"Solyc02g070570.2.1",464.000000000022,370.500000000047,659.000000000001,752,458.50000000022,445.5,776.000000000003,307.000000000000,973.500000000001,605.000000000001,716.5,474.5
"Solyc01g112320.2.1",115,79.4999999999999,90.0000000000017,86.5,84.9999999999999,114,77.4999999999998,69.9999999999999,51,65,35.5,60
"Solyc11g068400.1.1",30.5,29,57,45,46.5000000000344,45.5000000000001,35.5000000000000,25.5,99.5,23.5000000000001,47.5,34.5
"Solyc05g007870.1.1",27,1.5,0.5,7,1.50000000000000,6.5,10.0000000000000,1.12535174717971e-08,1.12535174719012e-08,3.5,1.5,5.50000000000001
"Solyc04g078410.2.1",1.50000000000000,3,2.00000000000001,5.49999999999999,7,4.13993771877894e-09,4.13993785254166e-09,4.13993771879877e-09,0.999999999999996,0.999999999999993,1,4.13993771881786e-09
"Solyc01g098490.2.1",1,1,0.999999999999997,1.12535172653001e-08,1.12535175086921e-08,2.5,17.5000000000000,10.0000000000000,3.99999999999998,7.00000000000003,10.0000000000001,10.5000000000000
"Solyc11g045350.1.1",112,143,153.500000000001,114.000000000005,162,128,102.500000000000,112.5,91.0000000000001,171.500000000000,119.500000000000,83.5000000000001
"Solyc04g050010.1.1",1,7.5,4.13993771878943e-09,7,2,2,1.50000000000000,4.13993771881512e-09,4.13993771879871e-09,4.13993771878466e-09,4.5,1
"Solyc05g013170.2.1",21.5,7.5,18.5000000000001,21.5,9.50000000000013,14,11.5000000000018,12.5000000000000,15.5000000000000,10.0000000000012,8.00000000367516,17
"Solyc01g094220.2.1",3.5,3.00000000596612,4,8.00000000000001,3.5,5,0.500000000004683,3.50000000000001,8.5,4.5,5,6
"Solyc01g010580.2.1",935,511.500000000002,879.5,1149,770.500000000046,835,1389.00000000000,376.5,1603,911.999999999999,1202.5,753
"Solyc01g081480.2.1",14.0000000000008,133.5,20.5000002827048,179.500000000000,5.50000000048866,243,41.0000000063643,386,3.50000000010330,293,23.5000000000082,295.999999999999
"Solyc06g048610.2.1",21.5,8.50000000000073,19,11.5000000001031,18,22,20.0000000000000,18.5,21.5,19.5000000000138,10,27.5
"Solyc01g006790.2.1",7.5,60.4999999999999,22.0000000000006,29.0000000000000,24.0000000000000,9.50000000000013,10.0000000969640,18.5000000023807,22,17.5000000007205,25.0000000067263,7
"Solyc07g065230.1.1",71.9999999999999,79.5,97,52.4999999999999,136.000000000002,59.9999999999999,54,97.5000000000442,110.5,50.4999999999999,86.4999999999999,73.9999999999999
"Solyc01g010060.2.1",2,3.5,4.5,3.05902319187922e-08,8,1.50000000000000,1.99999999999998,73.4999999999998,7,1.99999999999999,8.5,12.5
"Solyc11g008140.1.1",16.0000000000000,45.0000000000332,17.0000000000015,31,38.0000000012317,31.9999999999999,27.4999999999998,69.4999999999999,11.0000000000003,43.4999999999999,151.000000019178,41.4999999999999
"Solyc01g087710.2.1",16.0000000000000,84.0000000000001,0.499999999999997,18.5000000000000,5.50000000000001,33.5000000000001,36.0000000000001,488.500000000001,8.31528719095399e-08,103.000000000000,14.5,261
"Solyc03g007390.2.1",14,11.5000000000329,11,14,11,14,4.00000000000001,7.5,2.5,6.5,1.50000000077962,11
"Solyc11g071190.1.1",0.500000000000001,1.5,2.5,4.13993771878301e-09,6,5,0.500000000000001,4.13993771878084e-09,3,4.13993771877394e-09,7,2
"Solyc02g090900.2.1",40,103,13.5,57,25.5,90,49.4999999999997,58.9999999999999,30.4999999999999,80.9999999999999,44,104.5
"Solyc11g005000.1.1",44.0000000000003,27,56,50,49,33.5,56.0000000000001,35,74.5,52,62.5,42.5
"Solyc05g008430.2.1",159.500000000000,191.500000000000,248.5,139.000000000006,333.500000000000,121.500000000000,145.999999999999,127.000000000000,168.000000000000,123.000000000000,222.000000000000,68.9999999999999
"Solyc10g083120.1.1",115.5,137.5,154,139.000000000000,137.500000000014,90,142.000000000000,146,186.500000000000,172,214.500000000000,109.500000000000
"Solyc02g087660.2.1",1.5,0.5,1.5,1,3.5,2,2.50000000000000,1.12535174719239e-08,1.12535174719267e-08,1,2,1.5
"Solyc01g087360.1.1",2.00000000198028,1.00000000016102,0.500000000004685,2.5,1.00000000016103,1.00000000016103,8.00000000000001,11.5,8.5,6,3.00000000000000,15.5
"Solyc03g019790.2.1",41,63.9999999999999,40.5000000000000,56,84,60,29.9999999999999,32.5,63.5,48.5,89,47.5
"Solyc01g094780.2.1",5,2.5,5.5,6,4.5,5,1.00000000016103,1.50000000000000,0.500000000004683,2,2.00000000198028,6.00000000000001
"Solyc11g061980.1.1",3.5,0.500000000004683,39,3.00000000000000,1.00000000016103,2.5,0.500000000004682,3,13.5,2.00000000000000,1.50000000077962,2.00000000000000
"Solyc04g078690.2.1",137,37.9999999999999,45.0000000000332,114.500000000000,20.0000000000001,94.5,107.500000000000,44.0000000021637,26,88.5000000000002,46.0000000000001,107.5
"Solyc10g005250.2.1",3.00000000000000,2.49999999999999,2.99999999999999,2,5.49999999999999,4.00000000000000,1.12535173209532e-08,1.12535174726651e-08,1.50000000000002,3.00000000000000,1,1.00000000000001
"Solyc06g065940.2.1",12.5,8.00000000000067,10.5,12.5,8.5,11,8.00000000000001,12.5,4,6.5,6.5,11
"Solyc06g072960.1.1",2.5,1.5,2,3.5,3.5,2.5,2.5,1,3.05902320502150e-08,2,1.00000000000000,2
"Solyc12g014630.1.1",228.000000000000,1.50000000077962,77.5000000000001,7.5,358.500000000082,12,161.500000000001,7.50000000000026,23.0000000000001,4.5,66.0000000000001,5.5
"Solyc10g080490.1.1",12.5,66,7.0000000000001,53.5,3.50000000000001,72.5,18.4999999999999,139,4,56.5,6.50000000000002,126
"Solyc03g006140.2.1",300.50000000001,836,415,395.5,685,444.5,478.999999999998,1290.50000000044,255.5,351.5,803,367.5
"Solyc10g081080.1.1",29.5000000000003,32.5000000000001,48.0000000000001,42.5000000000001,46.0000000000001,28.0000000000001,53.5000000000003,22.5000000000000,42.5000000000000,56.5000000000002,50.0000000000001,17.0000000000000
"Solyc05g054950.2.1",19,15.5,13,19,16,22.5,12.5000000000000,23,11.5,14,17.0000000000000,21.5
"Solyc06g068640.1.1",4.13993764249459e-09,0.50000000000001,1.00000000000000,1.50000000000002,2.00000000000002,1.50000000000002,4.1399378042543e-09,4.13993771890525e-09,1.00000000000000,1.00000000000002,4.13993771854344e-09,2.00000000000003
"Solyc08g081610.2.1",1.5,1.50000000000001,5,2.50000000000000,4.13993771887201e-09,0.5,4.13993786852574e-09,1.49999999999999,2.00000000000000,1.00000000000001,4.13993771891567e-09,2.5
